Url,Incorrect,Correct,Suggestion,Label
3-cases-of-dangling-participles.html," Growing up as an undersized kid, punk music helped him find some sense of belonging."," “Growing up as an undersized kid, he found some sense of belonging in punk music.” The sentence can also be recast as a simple main clause (“Punk music helped him find some sense of belonging as he grew up as an undersized kid”), but this version is more prosaic.","This sentence erroneously identifies punk music as an undersized kid. To correct this error, a subject that the participle applies to must be inserted at the head of the main clause, which must be further revised to convey the intended idea", - Dangling Participles
3-cases-of-dangling-participles.html," Formally established on May 23, 1947, a primary role of this part-time military force is to conduct surveillance or sovereignty patrols as required."," “A primary role of this part-time force, formally established on May 23, 1947, is to conduct surveillance or sovereignty patrols as required.”","Here, a primary role, rather than the military force assigned the role, is said to be formally established on a certain date. In this case, the dangling participle can simply be relocated as a parenthetical following the sentence’s subject", - Dangling Participles
3-cases-of-dangling-participles.html," Seemingly perfectly preserved on the outside, the archaeologists were dismayed to find extensive damage within the chamber."," “The archaeologists were dismayed to find that despite the chamber’s seemingly perfectly preserved exterior, the chamber itself had suffered extensive damage.” (This revision also places the key information at the end of the sentence, resulting in a greater impact.)","In this sentence, archaeologists are described as being perfectly preserved on the outside. In some cases, the best way to avoid such errors is to thoroughly recast the entire sentence", - Dangling Participles
3-cases-of-faulty-organization-of-in-line-lists.html," Professor Smith’s comments are utterly reprehensible, deeply disturbing, and do not in any way reflect the values of the university.", “Professor Smith’s comments are utterly reprehensible and deeply disturbing and do not in any way reflect the values of the university.”,"Because the phrase beginning with  has its own verb, it is not part of a list beginning with “utterly reprehensible” and continuing with “deeply disturbing,” so those two phrases should be linked with a conjunction, and the commas that follow them must be omitted", - Faulty Organization of In-Line Lists
3-cases-of-faulty-organization-of-in-line-lists.html," Thousands of the organization’s workers face resistance, fear—and terrorists—as they try to eradicate the crippling disease.", “Thousands of the organization’s workers face resistance and fear—and terrorists—as they try to eradicate the crippling disease.”,"Similarly, the parenthetical phrase “and terrorists” is not part of a list that also includes ; those two terms constitute the list, and “and terrorists” is distinct, so the treatment of the list must be revised", - Faulty Organization of In-Line Lists
3-cases-of-faulty-organization-of-in-line-lists.html," Traditional financial institutions have significantly enhanced their risk and compliance programs by increasing resources, clarifying roles and responsibilities across the three lines of defense, upgrading their governance frameworks, as well as maintaining higher levels of capital."," “Traditional financial institutions have significantly enhanced their risk and compliance programs by increasing resources, clarifying roles and responsibilities across the three lines of defense, and upgrading their governance frameworks, as well as maintaining higher levels of capital.” ",“Maintaining higher levels of capital” is not part of the list in this sentence—“as well as” marks the phrase consisting of those eight words as a distinct appendage tacked onto the main clause—so the final item in the list must be preceded by a conjunction, - Faulty Organization of In-Line Lists
3-cases-of-faulty-parallel-structure-of-negation.html, “Data coming from third-party sources can neither be made to comply with the organization’s security guidelines nor can its authenticity be trusted.”," “. . . can be made to comply neither with the organization’s security guidelines nor its (something else).” But for this sentence, let  take the place of “can neither”: “Data coming from third-party sources cannot be made to comply with the organization’s security guidelines, nor can its authenticity be trusted.”",The grammatical confusion in this sentence is akin to that in a sentence in which the wording of a phrase including “not only” and “but also” is incorrectly ordered. (Search “not only . . . but also” on this site for multiple posts about frequently erroneous construction of sentences that include those phrases.) moved after the verb phrase “made to”) only if a single instance of a verb will serve both phrases, - Faulty Parallel Structure of Negation
3-cases-of-faulty-parallel-structure-of-negation.html, “He does not represent neither goodness nor kindness.”, “He does not represent ( is optional) or “He represents neither goodness nor kindness.”,"Here’s another misuse of the “neither . . . nor” construction. Here, it is redundant to ; use one or the other", - Faulty Parallel Structure of Negation
3-cases-of-faulty-parallel-structure-of-negation.html," “Smith wasn’t lamenting the view, but the decision by Yosemite National Park to change the names of some of the world’s most beloved destinations.”", “Smith was lamenting not the view but the decision by Yosemite National Park to change the names of some of the world’s most beloved destinations.”,"As with the first example, this sentence’s problematic grammar resembles that often seen in the erroneous construction of a “not only . . . but also” statement. Here, the verb  so that the contrast is clearly stated in “not (this) but (that)” form", - Faulty Parallel Structure of Negation
3-cases-of-misplaced-modifiers.html, Smith told the man to close the doors while holding the weapon to his head.," “While holding the weapon to the man’s head, Smith told him to close the doors.”","This sentence implies that the man was instructed to hold a weapon to his head and close the doors, but the man had a gun to his head when he was told to open the doors, so that key information should precede, not trail, the description of the task he was given (and switching the noun and the pronoun identifying the other person provides further clarity)", - Misplaced Modifiers
3-cases-of-misplaced-modifiers.html, She was only with Jones for four months because he was abusive.," “She was with Jones for only four months, because he was abusive.” (Better yet, write, “Because Jones was abusive, she was with him for only four months.”)","Technically, this sentence indicates that the woman remained with Jones for the sole reason that he was abusive, and she did so for four months. It could also be misread to imply that because of Jones’s abusive nature, the woman was with him and no one else for four months (though that reading is most likely if  should immediately precede the reference to the time frame", - Misplaced Modifiers
3-cases-of-misplaced-modifiers.html," As a young man, Jones recalls the 1945 parade that honored Smith as an event he will never forget."," “Jones recalls, as a young man, being at the 1945 parade that honored Smith as an event he will never forget.” Better yet, recast the sentence entirely: “Jones says he will never forget when he, as a young man, witnessed the 1945 parade honoring Smith.”","Using “as a young man” to introduce the recollection implies that it occurred when Jones was a young man, although the tense form of recall is wrong. For an unambivalent reading, Place the parenthetical phrase “as a young man” after “Jones recalls”", - Misplaced Modifiers
3-cases-of-missing-commas.html, These factors make it hard for management to decide what to communicate to directors given the board’s crowded agenda.," “These factors make it hard for management to decide what to communicate to directors, given the board’s crowded agenda.” (The additional phrase could also begin the sentence: “Given the board’s crowded agenda, these factors make it hard for management to decide what to communicate to directors.”)","The lack of punctuation preceding  is a preposition signaling that information about a mitigating factor is about to be imparted, and punctuation should separate this tacked-on phrase from the main clause", - Missing Commas
3-cases-of-missing-commas.html, It’s not a real pleasant experience to tell you the truth.," “It’s not a real pleasant experience, to tell you the truth.” (As in the previous sentence, the modifying phrase can begin the sentence: “To tell you the truth, it’s not a real pleasant experience.”)","As written, this sentence suggests that the writer does not enjoy telling the truth to the reader (or, if the sentence is a quotation, to someone the speaker is talking to), but this is not the writer’s (or speaker’s) intent. To signal that “to tell the truth” is simply a conversational aside, it should be separated from the main clause", - Missing Commas
3-cases-of-missing-commas.html, The coach had pursued a star athlete only to have a deal fall just short.," “The coach had pursued a star athlete, only to have a deal fall just short.” (Unlike the dependent clauses and the main clauses in the sentences above, this pair of clauses cannot be transposed without heavy revision.)","This sentence reads as if the coach had tried to recruit an athlete for the sole purpose of having a deal fall short;  is a modifying phrase describing the result of a sincere recruiting effort, and it should be set off from the main clause", - Missing Commas
3-cases-of-mixed-metaphors.html," What you hear symbolizes something ominous—impending danger lurking just beneath the surface, which has been hanging over our heads in recent years."," “What you hear symbolizes something ominous—impending danger lurking just beneath the surface, which has percolating in recent years.” ( is also a metaphor, but such one-word analogies embedded in our language do not distract as easily as more vivid imagery, and the verb is concordant with the preceding metaphor.)","The metaphors in this sentence come at the reader from both directions, with an allusion to subterranean peril and an indirect reference to the anecdote of the sword of Damocles, in which a king suspends a sword over a courtier’s head by a single hair to teach the man a lesson about the peril of being in a position of power. To avoid this discordance, the metaphors should be consistent in imagery", - Mixed Metaphors
3-cases-of-mixed-metaphors.html, These actions resulted in a significant redirection of market focus and gave the firms a ringside seat when the proverbial music stopped., “These actions resulted in a significant redirection of market focus and gave the firms a ringside seat when that shift occurred.”,"“A ringside seat” refers to achieving a privileged position (literally, a front-row seat at a boxing match), and the phrase about music alludes to surviving a round of the game of musical chairs, in which competitors circle a group of chairs that numbers one less than the number of participants and vie to obtain a seat when music that is briefly played suddenly ceases, causing one person to be disqualified in each round. Although both metaphors deal, in a sense, with attainment of privilege, the contexts are different, and one is best abandoned in favor of the other", - Mixed Metaphors
3-cases-of-mixed-metaphors.html, The same division within the party that derailed healthcare reform could also rear its head with respect to tax reform. , “The same division within the party that derailed healthcare reform could also occur with respect to tax reform.” (An attempt to match the derailment reference with another train-related metaphor will only call attention to the symmetry at the expense of the point of the sentence.),"The reference to figurative derailment is at odds with the clichéd metaphor of a threatening creature preparing to strike. Again, sacrifice one metaphor for another (preferably, replacing the cliché with a straightforward verb)", - Mixed Metaphors
3-cases-of-poorly-constructed-short-lists.html," These projects provide the needed insight as to where these measures work, don’t work, and why."," “These projects provide the needed insight as to where these measures work, where they don’t work, and why they don’t work.” However, a simpler, more concise solution is to combine  and “don’t work” into one element: “These projects provide the needed insight as to where these measures work or don’t work and why.”",One solution for this sentence is to express the elements completely, - Poorly Constructed Short Lists
3-cases-of-poorly-constructed-short-lists.html," Many lament a system that is unfair, discriminatory, and one where the American Dream is out of reach."," “Many lament a system that is unfair and discriminatory, and one where the American Dream is out of reach.” (Those words may seem redundant, but in context they are distinct.)","Sentences such as this, as with the first revision in the previous example, can often be repaired by supporting the middle element of the list with phrasing parallel to that of the first and last elements, but the final element is problematic, too, so the simplest approach is to pair ", - Poorly Constructed Short Lists
3-cases-of-poorly-constructed-short-lists.html," The convergence of increased regulation, the need for modernization and innovation, combined with an exponential increase in cyber risk, creates a major challenge for insurance companies. "," “The convergence of increased regulation and the need for modernization and innovation, combined with an exponential increase in cyber risk, creates a major challenge for insurance companies.”","The complication in this sentence is that “combined with an exponential increase in cyber risk” is treated as a list item rather than a related but distinct parenthetical. In addition, the second item, with its “” structure, is already complex. But the simple first item and the complex second item can easily be bridged with a conjunction rather than a comma to become syntactically valid", - Poorly Constructed Short Lists
3-cases-of-repetitive-punctuation.html," The next step is to escalate the issue to the executive management, including the CEO, and, through appropriate channels, the board of directors."," “The next step is to escalate the issue to the executive management (including the CEO) and, through appropriate channels, the board of directors.”","When repetition of commas or other punctuation marks within a sentence is overbearing, recast the sentence or, as shown here, change punctuation marks to reduce the number of identical occurrences", - Repetitive Punctuation
3-cases-of-repetitive-punctuation.html," They will need to exercise their own judgment when considering whether a lower threshold is appropriate for a portion, or all, of their customers, which, again, may lead to inconsistent practices across the industry."," “They will need to exercise their own judgment when considering whether a lower threshold is appropriate for a portion, or all, of their customers—which, again, may lead to inconsistent practices across the industry.”","If a word or phrase signals an abrupt or unexpected shift in a sentence, a dash is likely a more appropriate substitute when too many commas burden a sentence", - Repetitive Punctuation
3-cases-of-repetitive-punctuation.html," The entrance of nontraditional competitors, such as fintech, or financial technology, companies into the financial services industry, is driving this recent evolution."," The phrase “or financial technology” is inserted into the parenthetical phrase “such as fintech companies,” which expands on the main clause “The entrance of nontraditional competitors into the financial services industry is driving this recent evolution.” The parenthesis should therefore end at : “The entrance of nontraditional competitors, such as fintech, or financial technology, companies, into the financial services industry is driving this recent evolution.”",The primary parenthesis in this sentence is misidentified, - Repetitive Punctuation
3-cases-of-restrictive-and-nonrestrictive-confusion.html," A number of factors are at play for the industry, including the UK’s Brexit vote that continues to have an impact on financial markets. "," “A number of factors are at play for the industry, including the UK’s Brexit vote, which continues to have an impact on financial markets.” ","Here, the implication is that two or more Brexit votes occurred, though only one continues to have an impact on financial markets. But “continues to have an impact on financial markets” is merely an explanatory phrase describing a consequence of the Brexit vote, only one of which occurred, so the explanation should be framed in a subordinate clause set off by a comma and beginning with ", - Restrictive and Nonrestrictive Confusion
3-cases-of-restrictive-and-nonrestrictive-confusion.html," The company is a growing business-to-business payments provider, which has been established by a collaboration of banks."," “The company is a growing B2B payments provider that has been established by a collaboration of banks.” (However, the statement can be made more succinctly: “The company is a growing business-to-business payments provider established by a collaboration of banks.”)","Because the company is only one of many such businesses, the phrase describing by whom it was established is essential to the statement, so that phrase should not be set off as a subordinate clause", - Restrictive and Nonrestrictive Confusion
3-cases-of-restrictive-and-nonrestrictive-confusion.html," Offshore finance changed forever in April 2016 with the leak of 11.5 million documents from Mossack Fonseca, a Panama-based law firm which specializes in the formation and management of entities in tax havens."," “Offshore finance changed forever in April 2016 with the leak of 11.5 million documents from Mossack Fonseca, a Panama-based law firm that specializes in the formation and management of entities in tax havens.” ","Here, again, the description is essential to the sentence, so it is correctly treated as integral to the sentence and not set off by a comma. However, for additional clarity, that should replace ", - Restrictive and Nonrestrictive Confusion
3-cases-of-semicolon-overkill.html," Electrical shock may cause serious burns; injuries to internal organs, such as your heart; and even death."," “Electrical shock may cause serious burns, injuries to internal organs, such as your heart, and even death.”","Semicolons should generally be employed as strong commas when elements of a list themselves include lists or otherwise include commas of their own. Here, however, the sentence construction is clear and simple; “such as your heart” is obviously part of the list element pertaining to injuries to internal organs (and doesn’t necessarily need to be set off from the rest of the phrase anyway)", - Semicolon Overkill
3-cases-of-semicolon-overkill.html, Examples of enhancements might include reporting on the status of critical enterprise risks; changes in key external variables impacting the validity of the organization’s strategic assumptions; significant emerging risks; the capabilities for managing other important business risks; and the status of initiatives to improve capabilities.," “Examples of enhancements might include reporting on the status of critical enterprise risks, changes in key external variables impacting the validity of the organization’s strategic assumptions, significant emerging risks, the capabilities for managing other important business risks, and the status of initiatives to improve capabilities.”","The elements of this list are wordy but not complex, so “supercomma” semicolons are an excessive measure", - Semicolon Overkill
3-cases-of-semicolon-overkill.html, The basketball star’s legendary moves—aerial assaults; triple-clutch reverse layups; facials on seven-footers; one-handed rebounds or ball fakes; opposing shots stolen from the sky; big-game buzzer beaters at any time—couldn’t be replicated.," “The basketball star’s legendary moves—aerial assaults, triple-clutch reverse layups, facials on seven-footers, one-handed rebounds or ball fakes, opposing shots stolen from the sky, big-game buzzer beaters at any time—couldn’t be replicated.”","As in the previous example, the use of semicolons in this sentence is overkill", - Semicolon Overkill
3-cases-of-sentence-composition-confusion.html, Jones teamed up with another future Hall of Famer named John Smith.," “Jones teamed up with another future Hall of Famer, John Smith. (Alternatively, change : “Jones teamed up with fellow future Hall of Famer John Smith.”)","This sentence literally states that Jones’s name is actually John Smith; “another future Hall of Famer named John Smith” implies that the previously mentioned person shares that name. To eliminate this distraction, simply replace  with a comma", - Sentence-Composition Confusion
3-cases-of-sentence-composition-confusion.html, Gillian Anderson was offered half of David Duchovny’s salary for the return of The X-Files., “Gillian Anderson was offered half of what David Duchovny was paid to return to .”),"Here, the take-away is that half of David Duchovny’s salary was taken away and offered to Gillian Anderson—obviously not the intended meaning, which is that Duchovny was paid twice as much as Anderson to return to the television series. The fact that Duchovny’s salary is mentioned only for comparative purposes should be emphasized", - Sentence-Composition Confusion
3-cases-of-sentence-composition-confusion.html," I managed to pinpoint the location of his first housing development, but finding the first house he built was about as easy as locating men who worked on his construction crews."," “I managed to pinpoint the location of his first housing development, but finding the first house he built was about as difficult as locating men who worked on his construction crews.”","To compare one difficult task (finding the first house a housing developer built) with another (tracking down his contractors) by writing that one was as easy as the other could confuse readers. (As it is, only the counterpoint conjunction  provides a clue that the second and third objectives were a challenge to achieve.). For clarity, replace “as easy as” with “as difficult as”", - Sentence-Composition Confusion
3-cases-of-superfluous-hyphenation.html, The mother-of-two said she had never seen anything like it before.," “The mother of two said she had never seen anything like it before.” Specifically, mother is hyphenated in a phrase only in rare instances of noun phrases such as .",The simple descriptive phrase that provides more detail about the person requires no hyphenation, - Superfluous Hyphenation
3-cases-of-superfluous-hyphenation.html, The rail authority originally planned to build from Burbank-to-Los Angeles before connecting the Central Valley to San Francisco.," “The rail authority originally planned to build from Burbank to Los Angeles before connecting the Central Valley to San Francisco.” (An exception is when the phrase is a phrasal adjective modifying a noun: “The rail authority originally planned a Burbank–to–Los Angeles line before connecting the Central Valley to San Francisco”; here, en dashes are used instead of hyphens because at least one of the terms in the range consists of more than one word.)",Phrases describing starting points and destinations are not generally hyphenated, - Superfluous Hyphenation
3-cases-of-superfluous-hyphenation.html, Tasting menus range from $215 for five-courses and $255 for seven-courses at lunch to $325 for nine-courses at dinner.," Tasting menus range from $215 for five courses and $255 for seven courses at lunch to $325 for nine courses at dinner. (Again, hyphens are appropriate in phrasal adjectives; here, an adjective and a noun combine to hyphenate a noun: “Tasting menus range from $215 for a five-course lunch and $255 for a seven-course lunch to $325 for a nine-course dinner.”)",Phrases in which a number serves as an adjective modifying a noun are not hyphenated, - Superfluous Hyphenation
3-cases-of-superfluous-semicolons.html," Another factor is the actual speed of disruption; specifically, the ability of organizations to change rapidly."," “Another factor is the actual speed of disruption—specifically, the ability of organizations to change rapidly.” (Parenthesizing the subordinate clause is also an option, but parentheses serve to diminish the impact of additional information, while a dash emphasizes it.)","A semicolon used as a weak period must separate two independent clauses. Because the second half of this sentence is a mere subordinate clause, the semicolon is not appropriate. Using a comma in place of a semicolon fails to clarify the hierarchy of the sentence (preceding and following  with a comma would at least temporarily obscure whether specifically applies to the clause before it or the one that follows), so a dash is the best alternative", - Superfluous Semicolons
3-cases-of-superfluous-semicolons.html, This evaluation should include ascertaining which account balances are touched by the work of the provider; the related internal control assertions; how results are evaluated for reasonableness within established tolerances as dictated by the desired precision of the control activities in question; and whether the provider conforms to the organization’s code of conduct.," “This evaluation should include ascertaining which account balances are touched by the work of the provider, the related internal control assertions, how results are evaluated for reasonableness within established tolerances as dictated by the desired precision of the control activities in question, and whether the provider conforms to the organization’s code of conduct.”","Most of the list items in this sentence are long, but a semicolon exists to delineate complex phrases that already include commas rather than to set off extensive phrases; the statement is coherent without fortifying the divisions by changing the punctuation from commas to semicolons, so the latter are not necessary", - Superfluous Semicolons
3-cases-of-superfluous-semicolons.html," Soon, it becomes clear that the implications of the change reach farther than the finance and accounting group to impact operations, potentially leading to decisions to restructure customer contracts and pricing models; adjust sales commission and incentive compensation plans; modify debt covenants; assess tax planning strategies; and impact mergers and acquisitions transactions, forecasting reports, executive dashboards, and partnership and joint venture reports."," “Soon, it becomes clear that the implications of the change reach farther than the finance and accounting group to impact operations, potentially leading to decisions to restructure customer contracts and pricing models, adjust sales commission and incentive compensation plans, modify debt covenants, assess tax planning strategies, and impact mergers and acquisitions transactions, forecasting reports, executive dashboards, and partnership and joint venture reports.”","Readers might conceivably be confused by this sentence’s organization because of the complexity of the list item “impact mergers . . . joint venture reports,” so retaining the semicolons is defensible, but because it is last in the sentence, it is probably safe to simplify punctuation by using commas in place of semicolons", - Superfluous Semicolons
3-cases-of-superfluous-wording.html, More than half of all companies are currently pursuing some form of major information-technology transformation., “More than half of all companies are pursuing some form of major information-technology transformation.”,", which echoes the present-tense verbs it invariably is associated with, is rarely necessary or helpful; retain it only if it clarifies an ambiguous statement (in which case an alternative solution is to revise the statement to eliminate the ambiguity)", - Superfluous Wording
3-cases-of-superfluous-wording.html," Management must then determine whether or not the activities for recording, accumulating, and summarizing material information are designed and operating effectively."," “Management must then determine whether the activities for recording, accumulating, and summarizing material information are designed and operating effectively.”","Some writers don’t realize that the second and third word in “whether or not” should almost always be omitted. Others know this but automatically write it without noticing or don’t know when it is valid and when it is not. However, a simple test exists—if “whether or not” can be replaced by “regardless of whether,” the usage is valid, but if the phrase can be replaced by , “or not” is extraneous", - Superfluous Wording
3-cases-of-superfluous-wording.html, We have managed projects for both healthcare providers as well as medical-device manufacturers., “We have managed projects for both healthcare providers and medical-device manufacturers” or “We have managed projects for healthcare providers as well as medical-device manufacturers.”,"Sometimes the solution is revision rather than omission. For example, in this sentence, “as well as” is redundant to , so retain one or the other, but not both", - Superfluous Wording
3-cases-of-suspensive-hyphenation-that-are-missing-a-hyphen.html," The film covers the scene’s considerable sprawl, from the sketchy clubs and apartment dwellings to the bands and the drug and booze-fueled chaos that followed them."," “The film covers the scene’s considerable sprawl, from the sketchy clubs and apartment dwellings to the bands and the drug- and booze-fueled chaos that followed them.”","This statement refers to drug chaos and booze-fueled chaos. Obviously, the writer means “drug-fueled and booze-fueled chaos” but knows the rule described in the introduction to this post; in this case, However, the first element of the first phrasal adjective must be followed by a hyphen to signal that the elision is taking place", - Suspensive Hyphenation That Are Missing a Hyphen
3-cases-of-suspensive-hyphenation-that-are-missing-a-hyphen.html, This strategy breaks the training material up into several 2-3 minute videos., “This strategy breaks the training material up into several 2- to 3-minute videos.”,"As constructed, this nonsensical sentence refers to something called minute videos; it refers, in quick succession, to several of them and 2–3 of them. The problem is that the writer knows that a hyphen should link a range of numbers (actually, a dash should, but many publications use a simple hyphen, so the point is acceptable) but errs in applying that rule in this case. can be deleted and implied", - Suspensive Hyphenation That Are Missing a Hyphen
3-cases-of-suspensive-hyphenation-that-are-missing-a-hyphen.html, Why can’t humans hear infra and ultrasound?, “Why can’t humans hear infrasound and ultrasound?”,"Here, the suspensive omission is part of a closed compound. This strategy is technically valid (the proper form is “Why can’t humans hear infra- and ultrasound?”) but in practice often awkward. In this case, forgo the elision", - Suspensive Hyphenation That Are Missing a Hyphen
3-cases-of-too-many-commas.html," Much of what happened between the moment Jones sat on a bench to enjoy the view and police opened fire and killed him, has been the subject of contentious debate. "," “Much of what happened between the moment Jones sat on a bench to enjoy the view and police opened fire and killed him has been the subject of contentious debate.” (An example of the type of exception noted is “Much of what happened between the moment Jones sat on a bench to enjoy the view and police opened fire and kill him, and why the police reacted the way they did, has been the subject of contentious debate.”)",A verb is preceded by a comma only when that comma is one of a pair that frames a parenthetical phrase, - Too Many Commas
3-cases-of-too-many-commas.html," The stakes are high because, without effective management of regulatory risks, organizations are reactive, at best, and noncompliant, at worst, with all of the attendant consequences."," “The stakes are high because, without effective management of regulatory risks, organizations are reactive at best and noncompliant at worst, with all of the attendant consequences.” (Note that in the case of “at worst,” only the preceding comma can be deleted, because the one that follows it serves double duty, setting off the subordinate clause as well.)","The punctuation bracketing the phrases “at best” and “at worst” is optional, but because they, in combination with the required commas that set off the sentence’s parenthetical phrase and its subordinate clause, create a cluttered effect, it’s best to omit the discretionary ones", - Too Many Commas
3-cases-of-too-many-commas.html," He would replace conservative, Justice Antonin Scalia, who died last month, leaving behind a bitter election-year fight over the future of the court."," “He would replace conservative justice Antonin Scalia, who died last month, leaving behind a bitter election-year fight over the future of the court.” (Note that because the descriptor is “conservative justice,” not simply , justice is not a job title and is therefore not capitalized.)","This sentence is punctuated as if “Justice Antonin Scalia” is an appositive of  is simply part of a descriptor providing additional information about the person named; therefore, no intervening punctuation is necessary", - Too Many Commas
3-cases-of-unnecessary-punctuation.html," Smith said she regrets using the term, , to characterize Jones’s supporters.", “Smith said she regrets using the term  to characterize Jones’s supporters.”,Setting  is)—so no punctuation should frame the specific term, - Unnecessary Punctuation
